iter	RMSE
0	3.599946745
1	3.595636264
2	3.591822429
3	3.58823247
4	3.584932582
5	3.581844487
6	3.579186437
7	3.577111972
8	3.574948091
9	3.57270947
10	3.570665147
11	3.568856888
12	3.567115729
13	3.565550404
14	3.564131355
15	3.562896119
16	3.561632674
17	3.560315203
18	3.559308321
19	3.558258143
20	3.557357884
21	3.556476268
22	3.555671542
23	3.554807139
24	3.55402781
25	3.553282683
26	3.552569241
27	3.551922945
28	3.551239216
29	3.55059591
30	3.549969627
31	3.549544707
32	3.549076985
33	3.548659911
34	3.548103996
35	3.547555744
36	3.547217162
37	3.54674203
38	3.546313752
39	3.545922484
40	3.545550805
41	3.545098703
42	3.544568725
43	3.544297959
44	3.544021655
45	3.543715897
46	3.543318952
47	3.5430271
48	3.542545145
49	3.542212479
50	3.541918428
51	3.541638832
52	3.541308813
53	3.541002902
54	3.54071382
55	3.540504456
56	3.540194058
57	3.539891258
58	3.539585488
59	3.539241458
60	3.539076757
61	3.538819429
62	3.538596711
63	3.538248647
64	3.537932669
65	3.537710664
66	3.537435617
67	3.537051793
68	3.536718754
69	3.536356762
70	3.536148609
71	3.535965313
72	3.535791422
73	3.535564691
74	3.535360007
75	3.535116985
76	3.534853896
77	3.534672555
78	3.534413324
79	3.534224243
80	3.534031144
81	3.533856919
82	3.53370724
83	3.533444179
84	3.533263776
85	3.533041578
86	3.532914204
87	3.532764722
88	3.532563159
89	3.532358599
90	3.532186071
91	3.532063189
92	3.531787388
93	3.531663613
94	3.531433945
95	3.531179384
96	3.530966187
97	3.530640407
98	3.530434343
99	3.530285214
100	3.530133446
101	3.529877888
102	3.52967879
103	3.52947982
104	3.529355407
105	3.529198589
106	3.528989138
107	3.528829216
108	3.528673916
109	3.528421529
110	3.528281137
111	3.528078397
112	3.52790686
113	3.527765352
114	3.527639227
115	3.52748883
116	3.52723825
117	3.527041831
118	3.526826196
119	3.526719975
120	3.526560961
121	3.52644878
122	3.526283879
123	3.526158019
124	3.52601028
125	3.525815854
126	3.525635817
127	3.525429633
128	3.525277262
129	3.525199395
130	3.525131731
131	3.525020444
132	3.524839665
133	3.524583131
134	3.524397064
135	3.524294656
136	3.524145143
137	3.524036673
138	3.523964979
139	3.523875195
140	3.523554631
141	3.523484531
142	3.523388024
143	3.523269733
144	3.523190356
145	3.523094665
146	3.522882926
147	3.522804074
148	3.522603497
149	3.522445837
150	3.522267474
151	3.522069826
152	3.521911934
153	3.521812291
154	3.521693601
155	3.521547351
156	3.521353138
157	3.521228968
158	3.521110345
159	3.520889996
160	3.520687766
161	3.520648977
162	3.520518762
163	3.520361698
164	3.520163853
165	3.520091246
166	3.519989884
167	3.51983803
168	3.519701981
169	3.519546802
170	3.519320442
171	3.519016167
172	3.518858789
173	3.518575106
174	3.518486868
175	3.518361325
176	3.518261737
177	3.518171511
178	3.518071429
179	3.517978107
180	3.517866042
181	3.517768807
182	3.517629096
183	3.517523268
184	3.517433093
185	3.517373259
186	3.517268658
187	3.51713087
188	3.516970657
189	3.516833335
190	3.516693769
191	3.516568406
192	3.516338825
193	3.516282113
194	3.516162236
195	3.516032202
196	3.515814616
197	3.515671576
198	3.515487628
199	3.515355931
200	3.514889825
201	3.514699663
202	3.514529779
203	3.514424472
204	3.514311378
205	3.514184602
206	3.514088405
207	3.513967655
208	3.513822452
209	3.513698522
210	3.513531456
211	3.513379399
212	3.513248904
213	3.513175255
214	3.513043162
215	3.512890479
216	3.512795618
217	3.512671307
218	3.51260304
219	3.512504346
220	3.512407216
221	3.512200526
222	3.512132762
223	3.512019213
224	3.511942303
225	3.511817799
226	3.511714775
227	3.511541783
228	3.511395426
229	3.511299075
230	3.511235402
231	3.511181641
232	3.51110578
233	3.511001803
234	3.510818111
235	3.510690159
236	3.510578699
237	3.510484793
238	3.510282159
239	3.509996114
240	3.509685736
241	3.509577196
242	3.509443468
243	3.509320336
244	3.509212613
245	3.509072447
246	3.508938672
247	3.508780574
248	3.508712548
249	3.50858274
250	3.508493883
251	3.508396455
252	3.508309864
253	3.508201864
254	3.508141094
255	3.508055751
256	3.507921643
257	3.507690241
258	3.507614493
259	3.507487843
260	3.507371505
261	3.507263531
262	3.507125925
263	3.507001775
264	3.506845441
265	3.506778954
266	3.506562062
267	3.506436261
268	3.50624945
269	3.506124652
270	3.50584834
271	3.505669549
272	3.505500741
273	3.505409398
274	3.505257379
275	3.504996605
276	3.504891611
277	3.504758544
278	3.504613059
279	3.504355241
280	3.504222409
281	3.504066276
282	3.503949262
283	3.503784256
284	3.503665845
285	3.503549268
286	3.503423273
287	3.503246386
288	3.503149721
289	3.503029671
290	3.502862613
291	3.50266958
292	3.502495034
293	3.502282864
294	3.50197817
295	3.501905599
296	3.501776367
297	3.501576823
298	3.501541749
299	3.501536567
300	3.501364724
301	3.501192401
302	3.501187614
303	3.501039534
304	3.500883571
305	3.500765833
306	3.500643923
307	3.500573699
308	3.500401263
309	3.50039692
310	3.500392446
311	3.500238204
312	3.500164836
313	3.500087777
314	3.500083533
315	3.499882367
316	3.499829334
317	3.49972326
318	3.499306713
319	3.499140929
320	3.499016549
321	3.498947747
322	3.498762275
323	3.498648087
324	3.498521018
325	3.498377354
326	3.498367958
327	3.498313101
328	3.498204481
329	3.498042556
330	3.497983713
331	3.497832582
332	3.497647457
333	3.497538314
334	3.497417054
335	3.497313975
336	3.497187208
337	3.49718373
338	3.49709338
339	3.497006989
340	3.49689231
341	3.496797739
342	3.496718082
343	3.496555835
344	3.49640015
345	3.496340805
346	3.496232963
347	3.496088258
348	3.495972622
349	3.495867314
350	3.4957282
351	3.495724965
352	3.495627894
353	3.495534803
354	3.495396576
355	3.495284221
356	3.495133312
357	3.494915026
358	3.49477956
359	3.494610733
360	3.49448363
361	3.494380576
362	3.494250955
363	3.494103898
364	3.494044006
365	3.493961829
366	3.493860869
367	3.493826839
368	3.49381936
369	3.493812154
370	3.493728052
371	3.493721105
372	3.493564532
373	3.493435181
374	3.493355685
375	3.493348987
376	3.493300005
377	3.492907005
378	3.492747449
379	3.49265142
380	3.49248963
381	3.492430545
382	3.492424138
383	3.49232233
384	3.492193738
385	3.49212699
386	3.492014251
387	3.491917505
388	3.491703112
389	3.491610658
390	3.491536642
391	3.491157061
392	3.491033539
393	3.490798222
394	3.490702518
395	3.490598818
396	3.490531979
397	3.490485668
398	3.49032973
399	3.490177042
400	3.490090231
401	3.490014139
402	3.489845259
403	3.489699893
404	3.489565438
405	3.489456513
406	3.489368654
407	3.48924042
408	3.489108923
409	3.488990906
410	3.488856352
411	3.488718379
412	3.48852487
413	3.488404468
414	3.488222685
415	3.488162368
416	3.488029912
417	3.48797746
418	3.487866131
419	3.487710738
420	3.487588822
421	3.487532932
422	3.487402972
423	3.487303835
424	3.48712896
425	3.487016716
426	3.486869266
427	3.486735031
428	3.486403258
429	3.486303954
430	3.486178332
431	3.486043425
432	3.485962664
433	3.485830014
434	3.485762037
435	3.485550119
436	3.485471015
437	3.485450816
438	3.48539343
439	3.48528489
440	3.485172529
441	3.485138282
442	3.485085554
443	3.484986399
444	3.484928474
445	3.484882629
446	3.484813894
447	3.484728475
448	3.484681781
