iter	Passed	Remaining
0	49	49398
1	106	52918
2	158	52555
3	206	51303
4	251	50022
5	300	49790
6	346	49091
7	379	47069
8	423	46664
9	469	46526
10	518	46627
11	562	46321
12	607	46118
13	658	46369
14	704	46283
15	751	46242
16	793	45890
17	836	45610
18	884	45680
19	929	45532
20	971	45298
21	1019	45342
22	1067	45359
23	1115	45381
24	1163	45357
25	1212	45427
26	1256	45286
27	1306	45353
28	1361	45571
29	1410	45612
30	1454	45451
31	1498	45337
32	1545	45287
33	1591	45212
34	1641	45266
35	1683	45086
36	1724	44878
37	1765	44700
38	1809	44591
39	1852	44471
40	1898	44417
41	1942	44316
42	1984	44176
43	2031	44138
44	2076	44066
45	2119	43959
46	2165	43914
47	2217	43973
48	2264	43954
49	2311	43927
50	2356	43845
51	2405	43855
52	2453	43843
53	2503	43856
54	2546	43756
55	2595	43760
56	2641	43701
57	2685	43617
58	2731	43572
59	2777	43511
60	2823	43459
61	2867	43374
62	2913	43336
63	2960	43293
64	3011	43324
65	3064	43374
66	3111	43327
67	3157	43275
68	3204	43233
69	3247	43151
70	3292	43086
71	3342	43081
72	3395	43117
73	3447	43144
74	3497	43133
75	3545	43108
76	3596	43110
77	3644	43084
78	3687	42992
79	3739	43006
80	3789	42993
81	3833	42921
82	3882	42897
83	3930	42858
84	3979	42835
85	4026	42793
86	4069	42708
87	4116	42659
88	4159	42578
89	4201	42485
90	4246	42414
91	4297	42412
92	4338	42314
93	4384	42256
94	4427	42177
95	4470	42101
96	4513	42018
97	4567	42035
98	4625	42098
99	4682	42143
100	4730	42108
101	4786	42135
102	4847	42217
103	4905	42264
104	4972	42382
105	5030	42426
106	5081	42410
107	5135	42414
108	5191	42435
109	5237	42377
110	5304	42485
111	5366	42550
112	5426	42593
113	5477	42568
114	5532	42573
115	5579	42520
116	5628	42481
117	5673	42403
118	5715	42311
119	5761	42247
120	5807	42186
121	5852	42119
122	5895	42038
123	5933	41914
124	5975	41829
125	6021	41765
126	6066	41701
127	6108	41613
128	6150	41529
129	6196	41470
130	6243	41419
131	6286	41337
132	6334	41290
133	6376	41206
134	6421	41146
135	6467	41089
136	6510	41012
137	6558	40964
138	6603	40901
139	6638	40780
140	6681	40707
141	6726	40642
142	6771	40582
143	6815	40515
144	6858	40443
145	6904	40389
146	6948	40321
147	6986	40216
148	7026	40129
149	7074	40088
150	7116	40014
151	7157	39932
152	7202	39870
153	7247	39815
154	7294	39764
155	7341	39721
156	7396	39713
157	7446	39684
158	7487	39601
159	7529	39528
160	7568	39439
161	7602	39325
162	7649	39280
163	7692	39212
164	7739	39165
165	7782	39099
166	7827	39043
167	7874	38996
168	7916	38928
169	7961	38872
170	8009	38831
171	8049	38749
172	8100	38724
173	8148	38683
174	8188	38602
175	8235	38557
176	8282	38509
177	8328	38461
178	8372	38400
179	8419	38357
180	8469	38321
181	8518	38287
182	8568	38253
183	8615	38208
184	8663	38165
185	8706	38104
186	8751	38047
187	8796	37994
188	8842	37942
189	8887	37889
190	8926	37811
191	8978	37785
192	9020	37715
193	9058	37634
194	9103	37580
195	9145	37514
196	9186	37445
197	9231	37391
198	9272	37324
199	9319	37276
200	9363	37221
201	9411	37180
202	9450	37105
203	9492	37038
204	9538	36990
205	9582	36935
206	9627	36881
207	9670	36820
208	9711	36754
209	9750	36680
210	9791	36611
211	9835	36559
212	9876	36491
213	9921	36440
214	9969	36399
215	10012	36340
216	10055	36283
217	10102	36238
218	10148	36191
219	10194	36145
220	10238	36088
221	10281	36029
222	10328	35987
223	10370	35927
224	10414	35871
225	10456	35812
226	10500	35756
227	10543	35701
228	10586	35642
229	10628	35583
230	10673	35531
231	10721	35491
232	10769	35450
233	10816	35406
234	10858	35346
235	10899	35286
236	10945	35237
237	10987	35178
238	11033	35132
239	11076	35074
240	11120	35021
241	11161	34961
242	11207	34914
243	11254	34870
244	11297	34815
245	11343	34769
246	11390	34724
247	11435	34675
248	11484	34636
249	11525	34575
250	11571	34529
251	11619	34490
252	11666	34446
253	11708	34388
254	11756	34348
255	11803	34303
256	11846	34249
257	11887	34187
258	11935	34146
259	11975	34084
260	12019	34032
261	12063	33981
262	12105	33922
263	12147	33867
264	12192	33816
265	12238	33771
266	12280	33714
267	12322	33658
268	12367	33609
269	12413	33563
270	12457	33511
271	12501	33459
272	12544	33407
273	12592	33366
274	12638	33318
275	12681	33264
276	12726	33217
277	12771	33168
278	12814	33114
279	12856	33060
280	12902	33014
281	12948	32967
282	12993	32920
283	13036	32867
284	13080	32816
285	13121	32759
